similar_cid	measure	type	model	orig_cid
7416	0.9688034057617188	organic	FPBitsEmbedding	70155
15752	0.9682800769805908	organic	FPBitsEmbedding	70155
6829	0.9680798053741455	organic	FPBitsEmbedding	70155
8461	0.9663569331169128	organic	FPBitsEmbedding	70155
97240	0.9663115739822388	organic	FPBitsEmbedding	70155
16450	0.9661371111869812	organic	FPBitsEmbedding	70155
11392	0.9657976031303406	organic	FPBitsEmbedding	70155
11818	0.9624431729316711	organic	FPBitsEmbedding	70155
28206	0.9611431956291199	organic	FPBitsEmbedding	70155
568	0.9886528849601746	organic	FPBitsEmbedding	39929
71072	0.9881811738014221	organic	FPBitsEmbedding	39929
42128	0.9874856472015381	organic	FPBitsEmbedding	39929
42140	0.980342447757721	organic	FPBitsEmbedding	39929
9223	0.9781851768493652	organic	FPBitsEmbedding	39929
88939	0.972357988357544	organic	FPBitsEmbedding	39929
42138	0.9710312485694885	organic	FPBitsEmbedding	39929
33105	0.9683563113212585	organic	FPBitsEmbedding	39929
20263	0.9634705781936646	organic	FPBitsEmbedding	39929
12871038	0.9600155353546143	organic	FPBitsEmbedding	39929
6053	0.9754207134246826	organic	FPBitsEmbedding	6838
949	0.9588488936424255	organic	FPBitsEmbedding	6838
11487	0.9538958668708801	organic	FPBitsEmbedding	6838
11869	0.9513105154037476	organic	FPBitsEmbedding	6838
14456	0.9928585886955261	organic	FPBitsEmbedding	76004
77929	0.9876672029495239	organic	FPBitsEmbedding	76004
87244	0.9871128797531128	organic	FPBitsEmbedding	76004
76262	0.9831362962722778	organic	FPBitsEmbedding	76004
13521	0.9794914722442627	organic	FPBitsEmbedding	76004
83756	0.9757329225540161	organic	FPBitsEmbedding	76004
20473	0.9744217991828918	organic	FPBitsEmbedding	76004
87622	0.9688667058944702	organic	FPBitsEmbedding	76004
17317	0.9634571671485901	organic	FPBitsEmbedding	76004
281	0.9927611947059631	organic	FPBitsEmbedding	887
712	0.9924233555793762	organic	FPBitsEmbedding	887
9989226	0.9686505198478699	organic	FPBitsEmbedding	887
16302	0.9891029000282288	organic	FPBitsEmbedding	7378
7602	0.9876657724380493	organic	FPBitsEmbedding	7378
13627	0.9869794845581055	organic	FPBitsEmbedding	7378
33045	0.9673950672149658	organic	FPBitsEmbedding	7378
13415	0.9665045142173767	organic	FPBitsEmbedding	7378
13621	0.9646162986755371	organic	FPBitsEmbedding	7378
33044	0.9634641408920288	organic	FPBitsEmbedding	7378
7450	0.961064338684082	organic	FPBitsEmbedding	7378
10812	0.9605458974838257	organic	FPBitsEmbedding	7378
519965	0.9601897597312927	organic	FPBitsEmbedding	7378
6335	0.9902452826499939	organic	FPBitsEmbedding	9997
7846	0.9878140091896057	organic	FPBitsEmbedding	9997
12309	0.9860097169876099	organic	FPBitsEmbedding	9997
337121	0.9858910441398621	organic	FPBitsEmbedding	9997
6326	0.9816402792930603	organic	FPBitsEmbedding	9997
12732	0.9804080128669739	organic	FPBitsEmbedding	9997
10419	0.9761435985565186	organic	FPBitsEmbedding	9997
12720	0.9733906388282776	organic	FPBitsEmbedding	9997
11263471	0.9641672372817993	organic	FPBitsEmbedding	9997
520802	0.9626176357269287	organic	FPBitsEmbedding	9997
10821	0.9616538286209106	organic	FPBitsEmbedding	9997
7854	0.9877923130989075	organic	FPBitsEmbedding	768
6342	0.984872043132782	organic	FPBitsEmbedding	768
4685067	0.9797149300575256	organic	FPBitsEmbedding	768
7855	0.9787901043891907	organic	FPBitsEmbedding	768
7505	0.9767886996269226	organic	FPBitsEmbedding	768
