similar_cid	measure	type	model	orig_cid
359	0.9605252146720886	organic	QuantumPropsEmbedding	32881
1057	0.9604998826980591	organic	QuantumPropsEmbedding	32881
289	0.9604259729385376	organic	QuantumPropsEmbedding	32881
93496	0.9916561245918274	organic	QuantumPropsEmbedding	70155
66349	0.987919270992279	organic	QuantumPropsEmbedding	70155
7681	0.9859102368354797	organic	QuantumPropsEmbedding	70155
11769	0.9817125797271729	organic	QuantumPropsEmbedding	70155
11767	0.9776284098625183	organic	QuantumPropsEmbedding	70155
17151	0.977286159992218	organic	QuantumPropsEmbedding	70155
7114	0.9738388061523438	organic	QuantumPropsEmbedding	70155
36231	0.9992642998695374	organic	QuantumPropsEmbedding	39929
37034	0.999187171459198	organic	QuantumPropsEmbedding	39929
51130	0.9991318583488464	organic	QuantumPropsEmbedding	39929
5284469	0.9990273714065552	organic	QuantumPropsEmbedding	39929
42140	0.9988590478897095	organic	QuantumPropsEmbedding	39929
42128	0.9987847208976746	organic	QuantumPropsEmbedding	39929
727	0.9985637068748474	organic	QuantumPropsEmbedding	39929
42540	0.9985575675964355	organic	QuantumPropsEmbedding	39929
29575	0.9984757304191589	organic	QuantumPropsEmbedding	39929
38439	0.9984647631645203	organic	QuantumPropsEmbedding	39929
51720	0.9984008073806763	organic	QuantumPropsEmbedding	39929
5993	0.9983790516853333	organic	QuantumPropsEmbedding	39929
36188	0.9983612298965454	organic	QuantumPropsEmbedding	39929
3589	0.9983500838279724	organic	QuantumPropsEmbedding	39929
37807	0.9982826113700867	organic	QuantumPropsEmbedding	39929
43495	0.9982763528823853	organic	QuantumPropsEmbedding	39929
13930	0.9982513189315796	organic	QuantumPropsEmbedding	39929
30692	0.9981259107589722	organic	QuantumPropsEmbedding	39929
37248	0.9979247450828552	organic	QuantumPropsEmbedding	39929
37036	0.9978846311569214	organic	QuantumPropsEmbedding	39929
8606	0.9978182315826416	organic	QuantumPropsEmbedding	39929
23448	0.9978156685829163	organic	QuantumPropsEmbedding	39929
3224	0.9977938532829285	organic	QuantumPropsEmbedding	39929
37270	0.9971834421157837	organic	QuantumPropsEmbedding	39929
36401	0.9971107244491577	organic	QuantumPropsEmbedding	39929
38016	0.9970619082450867	organic	QuantumPropsEmbedding	39929
8607	0.9966219663619995	organic	QuantumPropsEmbedding	39929
37803	0.9961147904396057	organic	QuantumPropsEmbedding	39929
15625	0.9959132671356201	organic	QuantumPropsEmbedding	39929
38875	0.9958658814430237	organic	QuantumPropsEmbedding	39929
5455	0.9958477020263672	organic	QuantumPropsEmbedding	39929
2087	0.9957002401351929	organic	QuantumPropsEmbedding	39929
27960	0.9955524206161499	organic	QuantumPropsEmbedding	39929
42138	0.9948590993881226	organic	QuantumPropsEmbedding	39929
14410	0.9919373989105225	organic	QuantumPropsEmbedding	39929
