CID,kmeans_cluster,hierarchical_cluster
3301,9,7
31265,18,12
12256,9,12
61278,18,12
7302,18,12
3485,18,12
24752,18,12
756,3,12
7860,26,1
385,18,12
16402,2,7
7824,18,12
8892,2,0
7870,9,12
13360,18,12
8871,7,7
31276,18,12
31260,9,12
6360,16,0
8038,18,12
7819,18,12
6560,9,12
7351,18,12
8255,16,0
87622,18,15
6561,9,0
82744,18,8
7915,18,12
3776,9,12
7914,9,12
11552,9,0
10557,9,12
3032390,9,12
15659,9,15
6584,18,12
7294,18,12
12180,18,12
8134,3,12
6569,9,0
7292,9,7
7865,3,1
6328,9,0
11251,9,0
6658,18,12
11124,18,12
7895,9,0
15413,9,12
6329,9,7
880,26,1
11642,9,7
4,9,7
1103,9,7
7902,9,7
8880,9,7
7843,9,0
31272,18,12
8846,18,12
263,9,0
17049,3,11
13543,9,7
8003,9,0
61868,9,12
1031,9,12
41971,2,18
26630,2,0
8908,2,12
4678,18,12
14215,9,7
14242,18,12
7991,18,12
6276,9,0
6405,9,12
12217,18,12
12309,16,0
6585,3,12
6334,16,0
7854,9,7
7803,18,12
527,9,0
1032,18,12
7997,18,12
12293,18,12
21210,9,12
7900,9,12
93269,9,12
7946,18,12
15286,9,12
92629,9,12
1030,3,12
4650,26,8
6568,9,12
17317,18,11
53445481,2,2
61247,9,12
10908,18,12
6386,9,12
25203927,9,0
8028,9,0
7360,9,12
17151,18,12
94282,2,18
17167,9,0
11621,16,0
31357,2,18
102646,18,12
8923,3,12
9005,18,12
9869,16,0
25054,18,12
32611,3,12
8063,9,0
7904,18,12
12720,16,17
222,9,0
223,9,9
402,9,6
297,9,0
962,9,0
24841,9,0
164514,6,2
86240,6,2
13129,6,2
67884,6,2
6368,6,2
6429,6,2
61112,6,2
6372,6,2
6430,6,2
6392,6,2
6431,6,2
7394,6,2
6393,6,2
6428,6,2
6373,6,2
14917,6,2
15586,12,2
6391,6,2
39327,4,2
6278,12,2
6591,12,2
6574,12,2
6365,12,2
6366,12,2
6573,12,2
6564,12,2
24883,12,2
7367,4,2
10967,12,2
6333,11,2
6359,12,2
5943,12,2
6212,12,2
6423,12,2
6344,12,2
11,12,2
6901,4,2
6214,12,2
6327,12,2
6419,12,2
31373,12,2
10900,12,2
6575,12,2
6389,12,2
6338,12,2
6371,12,2
24193,12,2
8115,3,2
300,12,2
6478,4,2
727,4,2
14050,18,12
38307,4,2
7864,3,2
7635,18,12
13,4,2
7271,4,2
22833341,4,2
5993,4,2
3224,4,2
13930,4,2
3589,4,2
5284469,4,2
6895,4,2
12292,18,14
7704,18,12
47326,0,16
10457,2,18
76007601,2,5
12399,2,18
5976,27,7
398,20,9
9550,8,1
8113,3,7
4837,7,7
8111,9,7
6228,27,7
31374,7,7
23662387,27,7
6598,27,7
2723650,7,7
713,27,7
104556,7,7
13192,2,7
12679,27,7
12228,27,7
11167,27,7
6061,9,7
162093,7,7
8083,3,7
12699,27,7
6124,27,7
6046,7,7
17725,27,7
5565,7,7
1146,7,7
