CID,kmeans_cluster,hierarchical_cluster
14410,15,0
16318,15,0
8370,7,15
4115,15,25
6720,7,15
992,7,15
36401,15,0
71072,5,0
1486,15,0
2730,10,8
8607,15,0
9203,5,0
568,5,0
10155,3,7
11288,3,7
10708,3,7
20310,3,7
11138,3,7
11803,3,0
11764,3,0
15204,3,7
1493,3,7
8461,3,7
35842,5,0
12046,3,7
12292,3,7
10800,3,7
154901,5,0
12489838,3,7
8441,3,7
196,3,7
8496,3,7
1017,3,7
7489,3,7
10686,12,0
7269,12,0
16478,12,0
8530,12,0
11287,12,0
6735,12,0
12871038,12,0
10698,12,0
7238,12,0
7144,12,0
20263,12,0
12053,12,0
88939,12,0
7515,11,27
13211,12,0
6734,12,0
9161,12,0
244,12,0
135442,12,0
14123547,12,0
26331,12,0
460,12,0
7219,12,0
8405,12,0
931,12,0
7005,12,0
335,12,0
10722,12,0
11050,5,0
7047,12,0
7276,12,9
10687,12,0
14296,12,0
12784,12,0
7044,4,10
519308,4,10
7931,12,0
12439,3,7
2723,12,0
17253,5,0
7187,5,0
7020,5,0
3023,5,0
9183,5,0
9177,5,0
11818,3,0
12284,3,7
6780,5,0
15752,3,7
8554,18,7
743,3,7
10349,2,5
6811,3,7
12462,18,7
33045,0,0
7450,4,10
15109,18,7
16302,0,0
10383,18,7
61712,18,7
13076,5,0
10241,5,0
31214,24,3
8655,18,7
7041,18,7
20197,0,23
13256,5,0
12266,12,5
19951,21,6
13159,21,6
6495,21,5
11335,12,0
16663,4,10
11512,4,10
18972702,4,10
138270,4,10
68084,5,0
70155,3,0
93496,3,0
146998,5,0
13257,5,0
16932,5,0
13432,5,0
11795,5,0
11396,5,0
7471951,5,0
11936,5,0
15026,5,0
17321,5,0
15304,5,0
92373,5,0
13258,5,0
12566,5,0
18784,5,0
158032,5,0
9147,5,0
19427,5,0
15564,5,0
6001,5,0
17347,5,0
13068,5,0
13438,5,0
70382,5,0
11766,5,0
9143,5,0
8418,5,0
6697,5,0
9146,5,0
9195,5,0
129695190,5,0
9128,5,0
9144,5,0
7017,5,7
33743,5,0
34454,5,0
9154,5,0
10997535,18,7
995,5,0
31423,5,0
9170,5,0
7052,18,7
11892,3,7
6947,3,7
10296,3,7
1738,18,7
18302,9,5
289,9,18
10442,9,5
99937,9,18
75103,9,5
62118,9,5
177691,6,12
8133,6,12
162406,9,18
8117,9,12
670,9,5
32881,9,12
7344,9,5
604,9,7
753,9,5
7870,9,6
785,9,18
13360,9,28
10787,9,18
79029,9,18
8134,6,12
8880,11,27
61868,6,12
21210,6,12
15286,6,12
1057,9,18
13,7,15
10943,7,15
7810,7,15
7271,7,15
6914,7,15
7245,12,0
33344,2,5
7367,7,15
53639106,3,7
1049,2,5
4650,2,5
6895,7,15
69177,0,23
2879,12,18
17595,2,5
30215,12,5
19462,12,5
18554,12,5
18932,5,0
6724,12,0
6693,5,0
6849,3,0
11897,3,7
76027,18,7
6829,5,0
12475,3,7
8357,18,7
7121,18,7
12073,3,7
14332,18,7
16450,5,0
11769,5,0
8630,3,22
323,3,0
7418,3,7
19844,18,7
16212386,3,7
938,3,7
8373,3,7
7470,3,7
999,3,7
7672,3,7
338,3,7
10742,18,7
8468,18,7
185654,2,5
1183,18,7
237332,18,26
6115,20,22
7361,9,18
342,12,0
7242,20,22
996,9,18
359,9,18
5054,9,18
17520,11,27
31222,11,27
12025,11,27
8247,11,27
23666346,11,27
7222,12,0
6129,11,27
7108,11,27
2723650,11,27
8871,11,27
442649,11,27
13543,11,27
412,11,27
5971,3,7
7855,2,5
12720,8,13
6328,16,5
5558,16,5
971,16,5
7852,27,4
9223,12,0
90902,18,7
17198,18,7
8419,18,7
176439,18,7
524975,18,7
2214,18,7
226327,18,7
7165,18,7
4133,18,7
51132,6,12
12209,6,12
7770,6,12
8909,22,12
8020,2,5
8054,6,12
8900,4,10
11142,14,2
22311,14,2
7461,14,2
521268,14,2
70717,2,5
30214,2,5
9215,5,0
12333591,11,27
4944,11,27
5897,11,27
11487,11,27
4928,11,27
70255,2,5
6377,25,4
9033,25,4
10401,2,5
674,25,4
17049,6,9
19460,13,1
518713,13,1
6658,2,5
22129,27,4
7720,6,1
8146,6,12
25982,6,12
81313,6,12
13578,27,4
8087,9,12
8170,6,12
8129,6,12
957,6,12
6335,8,13
136332,16,5
980,3,7
16698,3,7
38078,3,7
7950,7,15
33105,12,0
6579,20,22
9997,8,13
11263471,8,13
337121,8,13
7846,8,13
61018,8,13
6326,8,13
10821,8,13
12732,8,13
12309,8,13
10351,2,26
31347,2,5
519365,4,10
31404,14,25
11463,14,2
81828,14,23
89180,14,17
17100,14,2
6431285,5,0
18779,5,0
8447,10,8
9201,5,0
18782,5,0
25760,5,0
11934,5,0
1674,5,0
18781,5,0
13462,5,0
44368,5,0
73557399,5,0
5954,5,0
2336,5,0
9153,5,0
9152,5,0
9158,5,0
9171,5,0
43254,5,0
67450,5,0
9131,5,0
9142,5,0
14325074,5,0
10222,5,0
3714831,7,8
30692,15,8
53230,5,0
180933,5,0
39184,5,0
39185,5,0
86258,5,0
114893,5,0
21694,5,0
21502,5,0
19168,5,0
11831,5,0
11392,3,0
28206,5,0
13090,5,0
149804,5,0
97240,5,0
7114,5,0
62134,5,0
44374,5,0
24121,5,0
30086,5,0
11767,5,0
31225,18,7
6781,10,11
7456,18,7
50958,5,0
5569,10,11
10018535,19,11
95717,5,0
69504,5,0
6710,20,22
7018,5,0
9163,5,0
9136,5,0
9117,5,0
2347,19,11
9115,5,0
9176,5,0
9106,5,0
9119,5,0
9126,5,0
9108,5,0
9118,5,0
5889,5,0
8559,10,11
29393,10,11
38479,11,11
9162,5,0
14264,2,5
8083,11,27
6046,2,5
9005,24,3
28474,22,1
13381,22,1
31285,22,1
