CID,kmeans_cluster,hierarchical_cluster
123522,11,11
18309,11,11
15507,11,11
35411,11,11
316554,11,11
35367,11,11
20615,11,11
28030,11,11
35368,11,11
17779,11,11
136729,11,11
19502,11,11
8125,11,11
7868,11,11
16657,11,11
18852,11,11
187815,11,11
528288,11,11
33045,11,11
519358,11,11
20832,11,11
519210,11,11
62410,11,11
33712,11,11
519195,11,11
7390,11,11
528692,11,11
520964,11,11
7247,11,11
16732,11,11
14718041,3,14
19460,11,11
11317,11,11
11327,11,11
11306,11,11
11326,11,11
11396,11,11
7450,16,5
11345,16,5
81828,11,5
15026,11,11
11936,3,14
17321,3,14
92723,11,11
28021,11,11
19041,11,11
28026,11,11
28023,11,11
13533,11,11
14045,11,11
26375,11,11
28024,11,11
16662,11,11
14020,11,11
13534,11,11
13558,11,11
521425,16,5
521416,16,5
519761,16,5
518457,16,5
19944,16,5
89303,16,5
137658,16,5
139988,16,5
14070,16,5
13379,16,5
138117,16,5
85927,16,5
11542,11,11
11260,11,11
7907,11,11
11582,11,11
11229,11,11
11255,11,11
10907,11,11
11215,11,11
11269,11,11
11447,11,11
11511,11,11
11592,11,11
11863,11,11
11233,11,11
94249,11,11
7486,16,5
7958,11,11
34193,11,11
11387,11,11
3016897,11,11
40638,11,11
19751,11,11
91517,11,11
7378,16,5
87622,6,4
4618,6,4
8163,6,4
6901,0,15
6214,0,15
6049,10,7
10459,10,7
13185,10,7
8496,10,1
12284,10,1
15109,10,1
75192,10,1
11321244,14,10
516973,14,10
8178,14,10
32611,14,10
6549,14,10
4458,14,10
29096,14,10
7792,14,10
15618,10,7
75502,5,7
16040,5,7
20758369,10,7
28809,5,7
10116,10,7
12572015,10,7
70095,10,7
8215,5,7
142770,5,7
13187,18,12
12293,19,12
9136,2,4
7681,9,18
26630,9,18
69504,9,2
86258,9,2
226327,6,7
13828362,10,7
2724554,10,7
8179,16,19
86302,16,19
69177,16,19
17198,14,10
6598,7,9
8170,14,10
17100,8,8
8177,14,10
11599,8,11
12724,11,11
1254,8,8
81313,8,8
8815,8,11
91496,18,3
6838,18,3
14242,18,3
62341,11,11
2365,7,15
10039,0,15
280,0,15
6348,0,15
6371,0,15
67334,16,5
7602,16,5
7795,16,5
121752,14,10
17739,8,8
68084,2,5
8186,6,2
221064,5,7
10117,5,7
267302,10,7
244872,10,7
3608,10,7
10467,5,7
5282604,5,7
23524,5,7
181572,5,7
